Name,Rating,Count,Type,Details
"Statue of Charlotte, Grand Duchess of Luxembourg",4.5,180,Historical landmark,"Statue of Charlotte, Grand Duchess of Luxembourg, is a prominent monument located in Luxembourg City, honoring the former Grand Duchess Charlotte."
Monument to Dicks and Lentz,4.4,223,Historical landmark,"Monument to Dicks and Lentz is a memorial located in Luxembourg City, honoring the Luxembourgish poets Michel Lentz and Dicks."
Houfels,4.7,128,Tourist attraction,"Houfels is a picturesque waterfall located in the Mullerthal region of Luxembourg, surrounded by scenic hiking trails and natural beauty."
Park Um Belval,4.3,216,Park,"Park Um Belval is a park in Esch-sur-Alzette, offering green spaces, walking paths, and recreational facilities for visitors."
Musée de l'Ardoise,4.7,157,Museum,"Musée de l'Ardoise, situated in Haut-Martelange, provides insights into Luxembourg's slate mining industry through its exhibits on geology, mining techniques, and cultural heritage. Visitors can explore the museum's historic quarry and learn about the lives of the miners."
Parc Edith Klein,4.8,123,State park,"Parc Edith Klein is a state park known for its peaceful atmosphere, botanical gardens, and nature trails."
National Museum of Military History (MNHM) Asbl,4.8,2079,War museum,"The National Museum of Military History (MNHM) Asbl, situated in Diekirch, commemorates Luxembourg's military history and honors the bravery of its soldiers. It features exhibits on various conflicts, including World War I and World War II, and offers insights into the country's defense strategies."
Citadel of the Holy Spirit,4.6,153,Tourist attraction,Citadel of the Holy Spirit is a historic fortress situated in the heart of Luxembourg City. It offers panoramic views of the city and provides insights into its military history.
Parc de Merl,4.6,2765,Tourist attraction,"Parc de Merl is a peaceful park in Luxembourg City, ideal for nature walks, jogging, and relaxing amidst scenic surroundings."
Gorges du Loup,4.7,778,Tourist attraction,"Gorges du Loup is a scenic gorge in Luxembourg's Mullerthal region, offering hiking trails and breathtaking views of the surrounding landscapes."
Copper Mine Museum,4.2,145,Museum,"Copper Mine Museum, situated in Stolzembourg, provides insights into the history and technology of copper mining in the region. Visitors can learn about the extraction process and the economic significance of copper mining."
Parcs de la Pétrusse,4.7,166,State park,"Parcs de la Pétrusse is a network of parks and gardens in Luxembourg City, offering picturesque views, walking paths, and historical landmarks."
Bourbon-Platte,4.6,104,Tourist attraction,"Bourbon-Platte is a historic square in Luxembourg City, featuring charming architecture, quaint cafes, and boutique shops."
Fort Thüngen,4.5,1940,Historical landmark,"Fort Thüngen, part of the UNESCO World Heritage site, offers panoramic views of Luxembourg City and showcases the city's fortifications. It features exhibits on the city's military history, architectural heritage, and strategic significance."
Tudor Museum,4.5,116,Science museum,"Tudor Museum, located in Rosport, showcases artifacts and exhibits related to the Tudor dynasty and its connections to Luxembourg. It offers a glimpse into the royal history and cultural heritage of the Tudor era."
Pont du Stierchen,4.8,128,Bridge,"Pont du Stierchen is a historic bridge in Luxembourg City, offering panoramic views of the Pétrusse Valley and the Alzette River."
Villa Vauban - Musée d'Art de la Ville de Luxembourg,4.5,587,Cultural center,"Villa Vauban - Musée d'Art de la Ville de Luxembourg, housed in a neoclassical villa, features European artworks from the 16th to the 18th century. It offers a rich cultural experience with its masterpieces by renowned artists and temporary exhibitions."
Nationalmusée um Fëschmaart,4.6,1729,Tourist attraction,"Nationalmusée um Fëschmaart, also known as the National Museum of Art and History, showcases Luxembourg's cultural heritage through its extensive collection of artifacts and artworks."
Parc de Merl,4.6,2765,Park,"Parc de Merl is a tranquil park in Luxembourg City, featuring scenic landscapes, playgrounds, and picnic areas."
Mullerthal Trail,4.7,3753,Tourist attraction,"Mullerthal Trail is a popular hiking trail in Luxembourg, known for its stunning landscapes, rock formations, and natural beauty."
Medieval Castle Beaufort,4.4,3580,Historical landmark,"Medieval Castle Beaufort is a medieval castle located near the town of Beaufort, offering guided tours and panoramic views of the surrounding landscapes."
Parc Kinnekswiss,4.6,1679,State park,"Parc Kinnekswiss is a state park offering scenic views, playgrounds, and recreational activities for visitors of all ages."
